ingredient_code,std_name_ko,std_name_en,old_name_ko,old_name_en,as_of_date,source,ingest_date,batch_id
24680,사탕수수즙추출물,Saccharum Officinarum (Sugarcane) Juice Extract,91722-22-4,,,kcia,2026-03-23,kcia_2026-03-23
24679,락토바실러스추출여과물,Lactobacillus Extract Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24678,흰여로꽃/잎/줄기추출물,,,,,kcia,2026-03-23,kcia_2026-03-23
24677,글라이시독시프로필폴리실세스퀴옥세인,Glycidoxypropyl Polysilsesquioxane,68611-45-0,,,kcia,2026-03-23,kcia_2026-03-23
24676,징크비스-메틸이미다졸,Zinc Bis-Methylimidazole,59061-53-9,,,kcia,2026-03-23,kcia_2026-03-23
24675,오배자추출물,Galla Rhois Gallnut Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24674,칼슘포스포실리케이트,Calcium Phosphosilicate,,,,kcia,2026-03-23,kcia_2026-03-23
24673,트레멜라스틴,Tremellastin,,,,kcia,2026-03-23,kcia_2026-03-23
24672,소듐디옥시콜로일다이펩타이드-92,Sodium Deoxycholoyl Dipeptide-92,,,,kcia,2026-03-23,kcia_2026-03-23
24671,풍나무잎추출물,,,,,kcia,2026-03-23,kcia_2026-03-23
24670,락토바실러스/락티플란티바실러스/류코노스톡/페디오코쿠스용해여과물,,,,,kcia,2026-03-23,kcia_2026-03-23
24669,다이소듐사이티딘포스페이트,Disodium Cytidine Phosphate,6757-06-8,,,kcia,2026-03-23,kcia_2026-03-23
24668,리모늄 플렉수오숨추출물,Limonium Flexuosum Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24667,에스알-(메티오닐에스에이치-폴리펩타이드-152에스에이치-올리고펩타이드-1헥사펩타이드-40),sr-(Methionyl sh-Polypeptide-152 sh-Oligopeptide-1 Hexapeptide-40),,,,kcia,2026-03-23,kcia_2026-03-23
24666,락토바실러스/하이드롤라이즈드고구마추출물발효여과물,Lactobacillus/Hydrolyzed Ipomoea Batatas Extract Ferment Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24665,귤박추출물,,,,,kcia,2026-03-23,kcia_2026-03-23
24664,서양인삼뿌리오일,Panax Quinquefolius Root Oil,,,,kcia,2026-03-23,kcia_2026-03-23
24663,소듐피리디닐메틸디옥시콜릴타우레이트,Sodium Pyridinylmethyl Deoxycholyl Taurate,2898508-50-2,,,kcia,2026-03-23,kcia_2026-03-23
24662,소듐테트라하이드로피라닐디옥시콜릴타우레이트,Sodium Tetrahydropyranyl Deoxycholyl Taurate,2898507-53-2,,,kcia,2026-03-23,kcia_2026-03-23
24661,바실러스/튤립추출물발효여과물,Bacillus/Tulipa Gesneriana Extract Ferment Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24660,소듐사이클로헥실디옥시콜릴타우레이트,Sodium Cyclohexyl Deoxycholyl Taurate,2898506-30-2,,,kcia,2026-03-23,kcia_2026-03-23
24659,소듐벤질디옥시콜릴타우레이트,Sodium Benzyl Deoxycholyl Taurate,2898507-36-1,,,kcia,2026-03-23,kcia_2026-03-23
24658,락토바실러스/미선나무잎추출물발효여과물,Lactobacillus/Abeliophyllum Distichum Leaf Extract Ferment Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24657,프로폴리스수,Propolis Water,,,,kcia,2026-03-23,kcia_2026-03-23
24656,페퀴씨/펄프발효오일,Caryocar Brasiliense Seed/Pulp Ferment Oil,,,,kcia,2026-03-23,kcia_2026-03-23
24655,튜베로즈꽃오일,Polianthes Tuberosa Flower Oil,94334-35-7,,,kcia,2026-03-23,kcia_2026-03-23
24654,페퍼트리씨추출물,Schinus Molle Seed Extract,94334-31-3,,,kcia,2026-03-23,kcia_2026-03-23
24653,알-클루이베로미세스/에스에이치-폴리펩타이드-168발효추출용해추출여과물,r-Kluyveromyces/sh-Polypeptide-168 Ferment Extract Lysate Extract Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24652,스트렙토코쿠스 인판티스,Streptococcus Infantis,,,,kcia,2026-03-23,kcia_2026-03-23
24651,등갈퀴나물꽃/줄기/잎추출물,,,,,kcia,2026-03-23,kcia_2026-03-23
24650,에스알-(옥타펩타이드-65에스에이치-폴리펩타이드-47헥사펩타이드-40),sr-(Octapeptide-65 sh-Polypeptide-47 Hexapeptide-40),,,,kcia,2026-03-23,kcia_2026-03-23
24649,마테잎수,,,,,kcia,2026-03-23,kcia_2026-03-23
