inci_name,kor_name,eng_name,cosing_functions,status,cosmetic_restriction,other_restrictions
2-HYDROXYETHYL ACRYLATE,2-하이드록시에틸아크릴레이트,2-Hydroxyethyl Acrylate,FILM FORMING,Active,,
ISOPHORONE DIISOCYANATE,아이소포론다이아이소시아네이트,Isophorone Diisocyanate,FILM FORMING,Active,,
POLYURETHANE-57,폴리우레탄-57,Polyurethane-57,BINDING,Active,,
PPG-3 GLYCERYL ETHER TRIACRYLATE,피피지-3글리세릴에터트라이아크릴레이트,PPG-3 Glyceryl Ether Triacrylate,FILM FORMING,Active,,
CELLULOSE OLIVATE,셀룰로오스올리베이트,Cellulose Olivate,SURFACTANT - EMULSIFYING;EMULSION STABILISING,,,
LAVANDULA ANGUSTIFOLIA FLOWER CERA,라벤더허브오일,Lavandula Angustifolia Herb Oil,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,
SACCHARUM OFFICINARUM JUICE EXTRACT,사탕수수즙추출물,Saccharum Officinarum (Sugarcane) Juice Extract,DEODORANT;SKIN CONDITIONING,Active,,
GLYCIDOXYPROPYL POLYSILSESQUIOXANE,글라이시독시프로필폴리실세스퀴옥세인,Glycidoxypropyl Polysilsesquioxane,SKIN CONDITIONING - EMOLLIENT;FILM FORMING;SKIN CONDITIONING,Active,,
ZINC BIS-METHYLIMIDAZOLE,징크비스-메틸이미다졸,Zinc Bis-Methylimidazole,SKIN CONDITIONING;SKIN PROTECTING,Active,,
DISODIUM CYTIDINE PHOSPHATE,다이소듐사이티딘포스페이트,Disodium Cytidine Phosphate,HAIR CONDITIONING;SKIN CONDITIONING - MISCELLANEOUS,,,
POLIANTHES TUBEROSA FLOWER CERA,튜베로즈꽃오일,Polianthes Tuberosa Flower Oil,FRAGRANCE;SKIN CONDITIONING,Active,,
SCHINUS MOLLE FRUIT EXTRACT,페퍼트리씨추출물,Schinus Molle Seed Extract,HUMECTANT;PERFUMING,Active,,
SALIDROSIDE,살리드로사이드,Salidroside,SKIN PROTECTING,,,
SODIUM BENZOATE,에스에이치-헥사펩타이드-2,sh-Hexapeptide-2,ANTICORROSIVE;FRAGRANCE;PRESERVATIVE,Active,V/1,ban substances that deplete the ozone layer
ISOSTEARAMIDOETHYL ISOSTEARYLMETHYLIMIDAZOLINIUM METHOSULFATE,아이소스테아라미도에틸아이소스테아릴메틸이미다졸리늄메토설페이트,Isostearamidoethyl Isostearylmethylimidazolinium Methosulfate,HAIR CONDITIONING,,,
C10-14 ALKYL POLYPROPANEDIOL-3 MYRISTATE,C10-14알킬폴리프로판다이올-3미리스테이트,C10-14 Alkyl Polypropanediol-3 Myristate,SKIN CONDITIONING - EMOLLIENT;SOLVENT;DISPERSING NON-SURFACTANT;SLIP MODIFIER,Active,,
C15-19 ISOPARAFFIN,C15-19아이소알케인,C15-19 Isoalkane,SOLVENT,Active,,
CHLOROINDOLYLMETHYL METHYLHYDANTOIN,클로로인돌릴메틸메틸하이단토인,Chloroindolylmethyl Methylhydantoin,HAIR CONDITIONING,,,
S-MU-CONOTOXIN CNIIIC,에스-뮤-코노톡신씨엔3씨아세테이트,s-Mu-conotoxin CnIIIC Acetate,SKIN PROTECTING,Active,,
LYSIMACHIA CHRISTINAE FLOWER/LEAF/STEM EXTRACT,과로황꽃/잎/줄기추출물,Lysimachia Christinae Flower/Leaf/Stem Extract,SKIN CONDITIONING - MISCELLANEOUS,,,
VIOLACEIN,바이올라신,Violacein,ANTIMICROBIAL;ANTIOXIDANT;COLORANT,Active,,
TETRADECYL AMINOBUTYROYLVALYLAMINOBUTYRIC UREA ACETATE,테트라데실아미노부티로일발릴아미노부티릭우레아아세테이트,Tetradecyl Aminobutyroylvalylaminobutyric Urea Acetate,SKIN CONDITIONING - MISCELLANEOUS,Active,,
MENAQUINONE-7,메나퀴논-7,Menaquinone-7,ANTI-SEBUM;ASTRINGENT;BLEACHING;SKIN PROTECTING;UV FILTER,Active,,
DIAMMONIUM FERRIC PENTETATE,다이암모늄페릭펜테테이트,Diammonium Ferric Pentetate,HUMECTANT,Active,,
CRYPTOMERIA JAPONICA BRANCH/LEAF EXTRACT,삼나무잎수,Cryptomeria Japonica Leaf Water,HUMECTANT;SKIN CONDITIONING,Active,,
PICEATANNOL,피세아타놀,Piceatannol,ANTIOXIDANT,Active,,ban substances that deplete the ozone layer
BIS-AMINOPROPYL DIGLYCOL,비스-아미노프로필다이글라이콜,Bis-Aminopropyl Diglycol,HAIR CONDITIONING,Active,,
DEOXYNOJIRIMYCIN,모라놀린,Moranoline,SKIN PROTECTING;SKIN CONDITIONING - MISCELLANEOUS,,,
METHYL DIHYDROXY-DIMETHYLBENZOATE,메틸다이하이드록시-다이메틸벤조에이트,Methyl Dihydroxy-dimethylbenzoate,PERFUMING,Active,,
NOBILETIN,노빌레틴,Nobiletin,ANTIMICROBIAL;ANTIOXIDANT;PRESERVATIVE,Active,,
ETHYL SALICYLATE,에틸살리실레이트,Ethyl Salicylate,PERFUMING,Active,,
HEPTYLGLYCERIN,헵틸글리세린,Heptylglycerin,ANTIMICROBIAL;ANTIPERSPIRANT;DEODORANT;SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING;HUMECTANT;SKIN CONDITIONING;SOLVENT;SURFACTANT - CLEANSING,Active,,
2-HYDROXYSTEARIC ACID,2-하이드록시스테아릭애씨드,2-Hydroxystearic Acid,HAIR CONDITIONING;SKIN PROTECTING;SURFACTANT - CLEANSING;SKIN CONDITIONING - MISCELLANEOUS,,,
BETULA PLATYPHYLLA JAPONICA JUICE,자작나무잎수,Betula Platyphylla Japonica Leaf Water,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
PEI-45/TMP/XYLENE DIISOCYANATE CROSSPOLYMER,피이아이-45/티엠피/자일렌다이아소시아네이트크로스폴리머,PEI-45/TMP/Xylene Diisocyanate Crosspolymer,FILM FORMING,Active,,
RHEUM RHABARBARUM EXTRACT,대황줄기추출물,Rheum Rhabarbarum Stalk Extract,SKIN CONDITIONING,Active,,
AMINOLEVULINIC ACID PHOSPHATE,아미노레불리닉애씨드포스페이트,Aminolevulinic Acid Phosphate,HUMECTANT,Active,,ban substances that deplete the ozone layer
TRIMETHYLBENZOYL DITOLYLPHOSPHINE OXIDE,트라이메틸벤조일다이톨릴포스핀옥사이드,Trimethylbenzoyl Ditolylphosphine Oxide,LIGHT STABILIZER;NAIL SCULPTING,,,
ZINC PHOSPHATE,징크포스페이트,Zinc Phosphate,BUFFERING;ORAL CARE,Active,,
ETHYL LAUROYL ARGINATE,에틸라우로일알지네이트,Ethyl Lauroyl Arginate,ANTIOXIDANT;HAIR CONDITIONING;SKIN CONDITIONING - MISCELLANEOUS,,,
CERAMIDE NG DILAURATE,세라마이드엔지다이라우레이트,Ceramide NG Dilaurate,SKIN CONDITIONING - EMOLLIENT;HAIR CONDITIONING;HUMECTANT;SKIN CONDITIONING,Active,,
SILICA CETYL SILYLATE,실리카세틸실릴레이트,Silica Cetyl Silylate,VISCOSITY CONTROLLING,Active,,
RESACETOPHENONE,레스아세토페논,Resacetophenone,ANTIOXIDANT;BLEACHING;SKIN CONDITIONING,Active,,
DISODIUM C12-14 ALKETH-3 SULFOSUCCINATE (FORMERLY DISODIUM C12-14 PARETH-3 SULFOSUCCINATE),다이소듐C12-14알케스-3설포석시네이트,Disodium C12-14 Alketh-3 Sulfosuccinate,SURFACTANT - FOAM BOOSTING;SURFACTANT - CLEANSING,,,
PANTHENYL BIS-PENTACLETHRA MACROLOBA SEEDATE,판테닐다이베헤네이트/올리에이트,Panthenyl Dibehenate/Oleate,HAIR CONDITIONING;SKIN CONDITIONING - MISCELLANEOUS,,,
DIHYDROXYAURONE,다이하이드록시오론,Dihydroxyaurone,ANTIOXIDANT,,,
METHYLPYRIDINYL FLUOROMETHOXYBENZONITRILE DIMETHYLOXOTHIOOXOIMIDAZOLIDINE,메틸피리디닐플루오로메톡시벤조나이트릴다이메틸옥소티오옥소이미다졸리딘,Methylpyridinyl Fluoromethoxybenzonitrile Dimethyloxothiooxoimidazolidine,ANTI-SEBUM;HAIR CONDITIONING;SKIN CONDITIONING - MISCELLANEOUS,,,
ISONIACIN,아이소나이아신,Isoniacin,SKIN CONDITIONING - MISCELLANEOUS,,,
TETRAHYDROPALMATINE,테트라하이드로팔마틴,Tetrahydropalmatine,HAIR CONDITIONING;SKIN CONDITIONING - MISCELLANEOUS,,,
METHYLHEPTYLGLYCERIN,메틸헵틸글리세린,Methylheptylglycerin,DEODORANT;HUMECTANT;SKIN CONDITIONING - MISCELLANEOUS,Active,,
POLY(C20-28 OLEFIN),C28-52올레핀,C28-52 Olefin,BINDING;FILM FORMING;SKIN CONDITIONING;VISCOSITY CONTROLLING,Active,,
3-AMINO-2-BUTANOL,3-아미노-2-부탄올,3-Amino-2-Butanol,DISPERSING NON-SURFACTANT;pH ADJUSTERS,,,
DIHYDROXYFLAVONOL,다이하이드록시플라본올,Dihydroxyflavonol,ANTIOXIDANT;SKIN CONDITIONING - MISCELLANEOUS,,,
TETRAPEPTIDE-61,테트라펩타이드-61,Tetrapeptide-61,ANTIOXIDANT;HAIR CONDITIONING;SKIN PROTECTING;ORAL CARE;SKIN CONDITIONING - MISCELLANEOUS,Active,,
4-PCA DIMETHICONE,4-피씨에이다이메티콘,4-PCA Dimethicone,HAIR CONDITIONING;SKIN CONDITIONING - MISCELLANEOUS,Active,,
3-HYDROXYBUTYRATE/4-HYDROXYBUTYRATE COPOLYMER,3-하이드록시부티레이트/4-하이드록시부티레이트코폴리머,3-Hydroxybutyrate/4-Hydroxybutyrate Copolymer,ABRASIVE;VISCOSITY CONTROLLING,Active,,
COIX LACRYMA-JOBI MA-YUEN ROOT EXTRACT,율무잎추출물,Coix Lacryma-Jobi Ma-yuen Leaf Extract,SKIN CONDITIONING,Active,,
BIS-(METHACRYLOYLOXYETHYL) PHOSPHATE,비스-(메타크릴로일옥시에틸)포스페이트,Bis-(Methacryloyloxyethyl) Phosphate,NAIL SCULPTING,,,
ALUMINUM TRIS-HYDROXYNITROSOANILINE,알루미늄트리스-하이드록시나이트로소아닐린,Aluminum Tris-Hydroxynitrosoaniline,NAIL CONDITIONING,Active,,
ISOPENTENYLTHEOPHYLLINE,아이소펜테닐테오필린,Isopentenyltheophylline,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING;SKIN PROTECTING,Active,,
PINUS PALUSTRIS OIL,방크스소나무잎오일,Pinus Banksiana Leaf Oil,FRAGRANCE;PERFUMING,Active,III/112,ban substances that deplete the ozone layer
RUBUS CHAMAEMORUS FRUIT JUICE EXTRACT,진들딸기열매즙추출물,Rubus Chamaemorus Fruit Juice Extract,HUMECTANT;SKIN CONDITIONING,Active,,
SODIUM COLANATE,소듐콜라네이트,Sodium Colanate,ANTIOXIDANT;HUMECTANT;SKIN PROTECTING;SKIN CONDITIONING - HUMECTANT,Active,,
POLYGLYCERYL-3 BETAINATE CITRATE,폴리글리세릴-3베타이네이트시트레이트,Polyglyceryl-3 Betainate Citrate,ANTISTATIC;HAIR CONDITIONING;SKIN CONDITIONING - HUMECTANT;SKIN CONDITIONING - MISCELLANEOUS,,,
MAGNESIUM POWDER,마그네슘,Magnesium,REDUCING,Active,,ban substances that deplete the ozone layer
CALCIUM,칼슘,Calcium,ABRASIVE;ANTIOXIDANT;REDUCING;VISCOSITY CONTROLLING;SKIN CONDITIONING - MISCELLANEOUS,Active,,
MALVA SYLVESTRIS LEAF EXTRACT,당아욱꽃/잎/줄기수,Malva Sylvestris (Mallow) Flower/Leaf/Stem Water,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
GLYCOLIDE,글라이콜라이드,Glycolide,HUMECTANT;SKIN CONDITIONING,Active,,
HYDROXYSATTABACIN,하이드록시사타바신,Hydroxysattabacin,SKIN CONDITIONING,Active,,
BUTENEONE NAPHTHALENEDIOL,부텐온나프탈렌다이올,Buteneone Naphthalenediol,HAIR CONDITIONING;OXIDISING;SKIN PROTECTING;SKIN CONDITIONING - HUMECTANT,,,
CAMELLIA SINENSIS ROOT EXTRACT,황차추출물,Camellia Sinensis Leaf Extract,SKIN CONDITIONING;PERFUMING,Active,,ban substances that deplete the ozone layer
BIS-POLYCITRONELLYL SUCCINATE,비스-폴리시트로넬릴석시네이트,Bis-Polycitronellyl Succinate,SKIN CONDITIONING - EMOLLIENT;HAIR CONDITIONING;SKIN CONDITIONING - HUMECTANT;SKIN CONDITIONING - OCCLUSIVE,Active,,
DIMETHYLACRYLAMIDE,다이메틸아크릴아마이드,Dimethylacrylamide,NOT REPORTED,Active,,
EPILOBIUM FLEISCHERI EXTRACT,고산바위바늘꽃잎/줄기추출물,Epilobium Fleischeri Leaf/Stem Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
AMINO METHYLISOBUTANOL,아미노메틸아이소부탄올,Amino Methylisobutanol,DISPERSING NON-SURFACTANT;pH ADJUSTERS,Active,,
COCAMIDOPROPYL HYDROXYSULTAINE,바바수아미도프로필하이드록시설테인,Babassuamidopropyl Hydroxysultaine,ANTISTATIC;CLEANSING;SURFACTANT - FOAM BOOSTING;HAIR CONDITIONING;SKIN CONDITIONING;SURFACTANT - CLEANSING;VISCOSITY CONTROLLING,Active,,ban substances that deplete the ozone layer
THYMUS MASTICHINA HERB EXTRACT,매스틱타임허브오일,Thymus Mastichina Herb Oil,PERFUMING,Active,,
POUTERIA SAPOTA SEED OIL,포우테리아 사포타씨오일,Pouteria Sapota Seed Oil,SKIN CONDITIONING - EMOLLIENT;HAIR CONDITIONING;SKIN CONDITIONING,Active,,
CITRULLUS LANATUS FRUIT EXTRACT,수박수,Citrullus Lanatus (Watermelon) Fruit Water,SKIN CONDITIONING,Active,,
DAVIDSONIA JERSEYANA FRUIT EXTRACT,다비드소니아 예르세야나열매추출물,Davidsonia Jerseyana Fruit Extract,ANTIOXIDANT;HAIR CONDITIONING;HUMECTANT;SKIN CONDITIONING,Active,,
ACETYL D-THREONYL D-VALYL D-GLUTAMYL D-PHENYLALANINE,아세틸D-트레오닐D-발릴D-글루타밀D-페닐알라닌,Acetyl D-Threonyl D-Valyl D-Glutamyl D-Phenylalanine,SKIN CONDITIONING - MISCELLANEOUS,,,
ACETYL D-GLUTAMYL D-VALYL D-PHENYLALANYL D-GLYCINE,아세틸D-글루타밀D-발릴D-페닐알라닐D-글라이신,Acetyl D-Glutamyl D-Valyl D-Phenylalanyl D-Glycine,SKIN CONDITIONING - MISCELLANEOUS,,,
ACETYL D-LYSINYL D-ASPARAGINYL D-LEUCINE,아세틸D-라이시닐D-아스파라지닐D-류신,Acetyl D-Lysinyl D-Asparaginyl D-Leucine,SKIN CONDITIONING - MISCELLANEOUS,,,
TRANS-ROSE KETONE-3,트랜스-로즈케톤-3,trans-rose Ketone-3,PERFUMING,Active,III/165,
TRANS-ROSE KETONE-2,트랜스-로즈케톤-2,trans-Rose Ketone-2,PERFUMING,Active,III/158,
CIS-ROSE KETONE-2,시스-로즈케톤-2,cis-Rose Ketone-2,PERFUMING,Active,III/162,
ROSE KETONE-5,로즈케톤-5,Rose Ketone-5,PERFUMING,Active,III/164,
ROSE KETONE-3,로즈케톤-3,Rose Ketone-3,PERFUMING,Active,III/161,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
C32-54 ISOALKANES,C32-54아이소알케인즈,C32-54 Isoalkanes,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING - OCCLUSIVE,,,
EUCALYPTUS CITRIODORA OIL,유칼립투스속오일,Eucalyptus Oil,FRAGRANCE;TONIC,Active,,
CITRUS UNSHIU FLOWER POWDER,귤수,Citrus Unshiu Fruit Water,ABRASIVE,Active,,
AZA-OXOHYPOXANTHINE,아자-옥소하이포잔틴,Aza-Oxohypoxanthine,SKIN PROTECTING,Active,,
BILIRUBIN,빌리루빈,Bilirubin,ANTIOXIDANT;CHELATING;REDUCING,,,
DIETHYL ITACONATE,다이에틸이타코네이트,Diethyl Itaconate,ANTIOXIDANT;HAIR CONDITIONING;SKIN PROTECTING;SKIN CONDITIONING - MISCELLANEOUS,,,
HYDROXYTRIMETHYLPYRIDINYL METHYLINDOLECARBOXAMIDE,하이드록시트라이메틸피리디닐메틸인돌카복사마이드,Hydroxytrimethylpyridinyl Methylindolecarboxamide,ANTIOXIDANT;HAIR CONDITIONING,,,
BIPHENYLMETHYL CARBOXYMETHYL BENZYLDIMETHYLPYRAZOLE CARBAMATE,바이페닐메틸카복시메틸벤질다이메틸피라졸카바메이트,Biphenylmethyl Carboxymethyl Benzyldimethylpyrazole Carbamate,HAIR CONDITIONING,,,
DIHYDROISOQUINOLINONE PIPERIDINYLCARBOXY PYRAZOLOPYRIDINE,다이하이드로아이소퀴놀리논피페리디닐카복시피라졸로피리딘,Dihydroisoquinolinone Piperidinylcarboxy Pyrazolopyridine,HAIR CONDITIONING,,,
DURVILLAEA POTATORUM EXTRACT,두르빌라이아 포타토룸추출물,Durvillaea Potatorum Extract,HUMECTANT;SKIN CONDITIONING,Active,,
MYROXYLON BALSAMUM PEREIRAE BALSAM EXTRACT,발삼페루수지추출물,Myroxylon Pereirae (Balsam Peru) Resin Extract,PERFUMING,Active,III/154,
PINUS PUMILIO BRANCH/LEAF OIL,눈잣나무잎추출물,Pinus Pumila Needle Extract,FRAGRANCE;PERFUMING,Active,,
HEA IPDI ISOCYANURATE TRIMER/POLYCAPROLACTONE DIOL COPOLYMER,에이치이에이아이피디아이아이소시아누레이트트라이머/폴리카프로락톤다이올코폴리머,HEA IPDI Isocyanurate Trimer/Polycaprolactone Diol Copolymer,FILM FORMING,Active,,
RUBUSOSIDE,루부소사이드,Rubusoside,HUMECTANT;SKIN CONDITIONING,Active,,
2-MERCAPTONICOTINOYL GLYCINE,2-머캅토니코티노일글라이신,2-Mercaptonicotinoyl Glycine,SKIN CONDITIONING - MISCELLANEOUS,Active,,
ACETAMIDOETHOXYETHANOL,아세타미도에톡시에탄올,Acetamidoethoxyethanol,HUMECTANT,Active,,
CAPROLACTONE/PYRROLIDONE COPOLYMER,카프로락톤/피롤리돈코폴리머,Caprolactone/Pyrrolidone Copolymer,SLIP MODIFIER,Active,,
UROLITHIN A,유로리틴에이,Urolithin A,SKIN CONDITIONING - MISCELLANEOUS,,,
TRIPEPTIDE-85,트라이펩타이드-85,Tripeptide-85,DEODORANT;SKIN CONDITIONING - MISCELLANEOUS,Active,,
DIMETHYL ITACONATE,다이메틸이타코네이트,Dimethyl Itaconate,ANTIOXIDANT;HAIR CONDITIONING;SKIN PROTECTING;SKIN CONDITIONING - MISCELLANEOUS,,,
RESVERATROL DIMETHYL ETHER GLUCOSIDE,레스베라트롤다이메틸에터글루코사이드,Resveratrol Dimethyl Ether Glucoside,ANTIOXIDANT,Active,,
N-DICHLOROACETYL TRYPTAMINE,N-다이클로로아세틸트립타민,N-Dichloroacetyl Tryptamine,ANTIOXIDANT;SKIN PROTECTING;SKIN CONDITIONING - MISCELLANEOUS,,,
SALICYLALDEHYDE,살리실알데하이드,Salicylaldehyde,FRAGRANCE,Active,III/340,
DIMETHYL PHENETHYL ACETATE,다이메틸페네틸아세테이트,Dimethyl Phenethyl Acetate,FRAGRANCE,Active,III/334,
LAVANDULA INTERMEDIA FLOWER/LEAF/STEM EXTRACT,더치라벤더꽃/잎/줄기오일,Lavandula Intermedia Flower/Leaf/Stem Oil,FRAGRANCE;ORAL CARE;PERFUMING;FLAVOURING,Active,,
ISOEUGENYL ACETATE,아이소유제닐아세테이트,Isoeugenyl Acetate,PERFUMING,Active,III/370,
"3-METHYL-5-(2,2,3-TRIMETHYL-3-CYCLOPENTENYL)PENT-4-EN-2-OL",트라이메틸사이클로펜테닐메틸아이소펜텐올,Trimethylcyclopentenyl Methylisopentenol,PERFUMING,Active,,
ACETYLCEDRENE,아세틸세드렌,Acetyl Cedrene,PERFUMING,Active,,
CHAMAECYPARIS OBTUSA BRANCH/LEAF EXTRACT,편백잎수,Chamaecyparis Obtusa Leaf Water,HUMECTANT;SKIN CONDITIONING,Active,,
HYALURONIC ACID/POLYISOPROPYLACRYLAMIDE COPOLYMER,하이알루로닉애씨드/폴리아이소프로필아크릴아마이드코폴리머,Hyaluronic Acid/Polyisopropylacrylamide Copolymer,HUMECTANT;SKIN CONDITIONING - HUMECTANT,Active,,
PYRROLOPIPERAZINEDIONE,피롤로피페라진다이온,Pyrrolopiperazinedione,SKIN CONDITIONING - MISCELLANEOUS,Active,,
HEXAHYDROXYBIPHENYL,헥사하이드록시바이페닐,Hexahydroxybiphenyl,HAIR CONDITIONING;SKIN PROTECTING;SKIN CONDITIONING - MISCELLANEOUS,Active,,
PRUNUS SPINOSA FRUIT EXTRACT,블랙손꽃추출물,Prunus Spinosa Flower Extract,SKIN CONDITIONING,Active,,
BETA-ALANYL HYDROXYPROLYLDIAMINOBUTYROYL BENZYLAMIDE,베타-알라닐하이드록시프롤릴다이아미노부티로일벤질아마이드,Beta-Alanyl Hydroxyprolyldiaminobutyroyl Benzylamide,SKIN CONDITIONING,Active,,
N-CAFFEOYL TYRAMINE,N-카페오일타이라민,N-Caffeoyl Tyramine,ANTIOXIDANT;BLEACHING;SKIN PROTECTING,,,
FICUS CARICA BARK EXTRACT,무화과나무잎추출물,Ficus Carica (Fig) Leaf Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
SODIUM SIALYLLACTOSE,소듐시알릴락토오스,Sodium Sialyllactose,SKIN CONDITIONING - MISCELLANEOUS,,,
POLYGLYCERYL-3 STEARATE/SEBACATE CROSSPOLYMER,폴리글리세릴-3스테아레이트/세바케이트크로스폴리머,Polyglyceryl-3 Stearate/Sebacate Crosspolymer,BINDING;EMULSION STABILISING;FILM FORMING;VISCOSITY CONTROLLING;DISPERSING NON-SURFACTANT;SKIN CONDITIONING - MISCELLANEOUS,,,
ROSA RUGOSA BUD POWDER,해당화열매추출물,Rosa Rugosa Fruit Extract,ABRASIVE;HUMECTANT;FRAGRANCE;SKIN PROTECTING,Active,,
PISTACIA LENTISCUS LEAF CERA,매스틱잎추출물,Pistacia Lentiscus (Mastic) Leaf Extract,SKIN PROTECTING;VISCOSITY CONTROLLING,Active,,ban substances that deplete the ozone layer
MUSA PARADISIACA FRUIT,바나나껍질추출물,Musa Sapientum (Banana) Peel Extract,ASTRINGENT,Active,,
ETHYL LAUROYL ARGINATE ACETYLPHENOXIDE,에틸라우로일알지네이트아세틸페녹사이드,Ethyl Lauroyl Arginate Acetylphenoxide,ANTIOXIDANT;SKIN CONDITIONING - MISCELLANEOUS,,,
POLYURETHANE-26,폴리우레탄-26,Polyurethane-26,FILM FORMING;HAIR CONDITIONING;SKIN PROTECTING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
BIS-DIISOPROPANOLAMINO-PG-PROPYL DISILOXANE/BIS-VINYL DIMETHICONE COPOLYMER,비스-다이아이소프로판올아미노-피지-프로필다이실록세인/비스-비닐다이메티콘코폴리머,Bis-Diisopropanolamino-PG-Propyl Disiloxane/Bis-Vinyl Dimethicone Copolymer,HAIR CONDITIONING,Active,,
SODIUM MALEATED SOYBEAN OIL,소듐말리에이티드콩오일,Sodium Maleated Soybean Oil,ORAL CARE,Active,,
PENTAERYTHRITYL TETRAMERCAPTOPROPIONATE,펜타에리스리틸테트라머캅토프로피오네이트,Pentaerythrityl Tetramercaptopropionate,FILM FORMING,Active,,
METHOXYPROPYLAMINO CYCLOHEXENYLIDENE ETHOXYETHYLCYANOACETATE,메톡시프로필아미노사이클로헥세닐리덴에톡시에틸사이아노아세테이트,Methoxypropylamino Cyclohexenylidene Ethoxyethylcyanoacetate,LIGHT STABILIZER;UV FILTER,Active,,
BIS-BROMOACETYLAMINOETHYL GLYCOL,비스-브로모아세틸아미노에틸글라이콜,Bis-Bromoacetylaminoethyl Glycol,HAIR CONDITIONING,Active,,
AMMONIUM ACRYLOYLDIMETHYLTAURATE/VINYL FORMAMIDE COPOLYMER,암모늄에이엠피에스,Ammonium AMPS,EMULSION STABILISING;VISCOSITY CONTROLLING,Active,,
TASMANNIA LANCEOLATA FRUIT POWDER,마운틴페퍼열매/잎추출물,Tasmannia Lanceolata Fruit/Leaf Extract,ANTIOXIDANT;HAIR CONDITIONING;SKIN CONDITIONING,Active,,
ITACONIC ACID,이타코닉애씨드,Itaconic Acid,ANTIMICROBIAL;BUFFERING;SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,
SODIUM TOSYL VALINATE,소듐토실발리네이트,Sodium Tosyl Valinate,HAIR CONDITIONING;SKIN CONDITIONING,Active,,
N-OLEYL HYDROXYHEXANAMIDE,N-올레일하이드록시헥산아마이드,N-Oleyl Hydroxyhexanamide,SURFACTANT - EMULSIFYING;EMULSION STABILISING;HAIR CONDITIONING;PRESERVATIVE;SKIN CONDITIONING;SURFACTANT - CLEANSING,Active,,
TETRASODIUM HYDROXY IMINODISUCCINATE,테트라소듐하이드록시이미노다이석시네이트,Tetrasodium Hydroxy Iminodisuccinate,CHELATING,Active,,
LAVANDULA LATIFOLIA HERB EXTRACT,스파이크라벤더허브오일,Lavandula Latifolia Herb Oil,PERFUMING,Active,,
LESPEDEZA CAPITATA LEAF/STEM EXTRACT,레스페데자 카피타타꽃/잎/줄기추출물,Lespedeza Capitata Flower/Leaf/Stem Extract,SKIN CONDITIONING;SKIN PROTECTING,Active,,
PENTAMETHYLCYCLOPENT-3-ENE-BUTANOL,산달로,Sandalore,PERFUMING,Active,,
SALVIA MILTIORRHIZA FLOWER/LEAF/ROOT EXTRACT,단삼잎추출물,Salvia Miltiorrhiza Leaf Extract,SKIN CONDITIONING,Active,,
PHYCOCYANIN,피코시아닌,Phycocyanin,ANTIOXIDANT;COLORANT;LIGHT STABILIZER,Active,,
CURCUMA LONGA CALLUS EXTRACT,울금캘러스추출물,Curcuma Longa (Turmeric) Callus Extract,SKIN PROTECTING,Active,,
TRIPELARGONIN,트라이펠라고닌,Tripelargonin,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,
ANHYDROGLUCITYL GALLATE,안하이드로글루시틸갈레이트,Anhydroglucityl Gallate,ANTIMICROBIAL;ANTIOXIDANT;ASTRINGENT;SKIN CONDITIONING,Active,,
ANHYDROGLUCITOL,안하이드로글루시톨,Anhydroglucitol,ANTIPLAQUE;HUMECTANT;SKIN CONDITIONING,Active,,
MENTHA ROTUNDIFOLIA LEAF EXTRACT,폴스애플민트잎추출물,Mentha Rotundifolia Leaf Extract,TONIC,Active,,
BIS-AMINOPROPYL DIGLYCOL DIMALEATE,비스-아미노프로필다이글라이콜다이말리에이트,Bis-Aminopropyl Diglycol Dimaleate,HAIR CONDITIONING;HAIR WAVING OR STRAIGHTENING;SKIN CONDITIONING,Active,,
METHYL DIHYDROXYFARNESATE,메틸다이하이드록시파네세이트,Methyl Dihydroxyfarnesate,BLEACHING;SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING - MISCELLANEOUS,,,
POLYPROPANEDIOL-4,폴리프로판다이올-34,Polypropanediol-34,SURFACTANT - EMULSIFYING;EMULSION STABILISING;PLASTICISER;SOLVENT;SURFACTANT - CLEANSING;VISCOSITY CONTROLLING,Active,,
PROPYLENE GLYCOL DIHEPTANOATE,프로필렌글라이콜다이헵타노에이트,Propylene Glycol Diheptanoate,ANTICAKING;SKIN CONDITIONING - EMOLLIENT;FILM FORMING;SKIN CONDITIONING;SOLVENT;VISCOSITY CONTROLLING,Active,,
NARCISSUS POETICUS FLOWER CERA,입술연지수선화캘러스추출물,Narcissus Poeticus Callus Extract,SKIN CONDITIONING;TONIC,Active,,
DIHYDROXYINDOLINE HBR,다이하이드록시인돌린에이치비알,Dihydroxyindoline HBr,HAIR DYEING,Active,III/204,
