inci_name,kor_name,eng_name,cosing_functions,status,cosmetic_restriction,other_restrictions
ACANTHOPANAX SESSILIFLORUS ROOT EXTRACT,오갈피나무뿌리추출물,Acanthopanax Sessiliflorus Root Extract,SKIN CONDITIONING,Active,,
LYSIMACHIA FOENUM-GRAECUM EXTRACT,영릉향추출물,Lysimachia Foenum-graecum Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
CAMELLIA JAPONICA FLOWER POWDER,동백나무꽃가루,Camellia Japonica Flower Powder,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
COCCINIA INDICA FRUIT EXTRACT,아이비고드열매추출물,Coccinia Indica Fruit Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
CYATHEA CUMINGII LEAF EXTRACT,퀴아테아 쿠밍기이잎추출물,Cyathea Cumingii Leaf Extract,FILM FORMING,Active,,ban substances that deplete the ozone layer
AMINOPROPYL KOJYL PHOSPHATE,아미노프로필코질포스페이트,Aminopropyl Kojyl Phosphate,SKIN CONDITIONING,Active,,
ADAMANTANYL DIHYDROCAFFEAMIDE,아다만타닐다이하이드로카페아마이드,Adamantanyl Dihydrocaffeamide,ANTIOXIDANT;BLEACHING;SKIN PROTECTING,Active,,
PUMPKIN FRUIT EXTRACT BETA-GLUCAN,당호박추출물베타-글루칸,Pumpkin Fruit Extract Beta-Glucan,ABRASIVE;ANTI-SEBORRHEIC;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
SACCHAROMYCES/PLATINUM FERMENT,효모/백금발효물,Saccharomyces/Platinum Ferment,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
PINEAPPLE FRUIT EXTRACT BETA-GLUCAN,파인애플추출물베타-글루칸,Pineapple Fruit Extract Beta-Glucan,DEPILATORY;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
KIWI FRUIT EXTRACT BETA-GLUCAN,키위추출물베타-글루칸,Kiwi Fruit Extract Beta-Glucan,ABRASIVE;ANTI-SEBORRHEIC;SKIN CONDITIONING,Active,,
EXCOECARIA BICOLOR LEAF EXTRACT,엑스코에카리아 비코로르잎추출물,Excoecaria Bicolor Leaf Extract,ANTIOXIDANT;BLEACHING,Active,,
SACCHAROMYCES/MANGANESE FERMENT,효모/망간발효물,Saccharomyces/Manganese Ferment,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
PYRIDOXINE TRIS-HEXYLDECANOATE,피리독신트리스-헥실데카노에이트,Pyridoxine Tris-Hexyldecanoate,HUMECTANT,Active,,
PHOSPHATE BUFFERED SALINE,포스페이트버퍼드셀라인,Phosphate Buffered Saline,SOLVENT,Active,,ban substances that deplete the ozone layer
OLIGOPEPTIDE-27,올리고펩타이드-27,Oligopeptide-27,SKIN CONDITIONING,Active,,
